name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"10.7852,79.8409",2025-01-01,84.3,78.5,80.3,91.3,78.5,82.3,72.2,76.7,0.004,100,4.17,rain,0,0,29.8,18.3,28.1,1012.6,78.2,11.2,216.2,18.6,8,10,2025-01-01T06:29:07,2025-01-01T17:59:27,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-02,83.9,74.1,79.8,89.7,74.1,81,70.6,73.7,0.008,100,8.33,rain,0,0,25.5,14.3,38.9,1012.7,63.2,11,200.3,17.3,7,10,2025-01-02T06:29:31,2025-01-02T18:00:00,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-03,82.7,72.3,78.7,86.6,72.3,79.8,69.6,73.9,0.008,100,8.33,rain,0,0,27.1,17.4,29,1013,69.4,10.8,190.3,16.3,7,10,2025-01-03T06:29:54,2025-01-03T18:00:33,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-04,83.6,71,78.2,88.6,71,79.2,69.3,74.3,0.008,100,8.33,rain,0,0,21.5,13.2,29,1012.3,57.7,11,195.2,16.7,7,10,2025-01-04T06:30:16,2025-01-04T18:01:06,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-05,83,71.9,78.3,88.3,71.9,79.2,68.3,71.8,0,0,0,,0,0,19,11.6,27.9,1012.6,67.1,11,196.4,16.9,7,10,2025-01-05T06:30:37,2025-01-05T18:01:39,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-06,82.7,71.4,78.1,87.2,71.4,78.9,69.6,75.5,0,0,0,rain,0,0,16.6,10.5,17.5,1012.1,76.8,10.9,160,13.6,7,10,2025-01-06T06:30:57,2025-01-06T18:02:11,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-07,80.7,76.9,78.5,86.2,76.9,78.7,73.3,84.1,0.124,100,45.83,rain,0,0,21.5,13,37.5,1011.8,68.2,684,155.2,13.4,7,10,2025-01-07T06:31:17,2025-01-07T18:02:44,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-08,82.1,75.3,78.4,87.4,75.3,79.1,70.6,77.2,0,0,0,,0,0,21.7,13.6,24.8,1011.8,27.5,10.8,234.3,20.1,8,10,2025-01-08T06:31:35,2025-01-08T18:03:16,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-09,82.7,73.2,78.7,89.5,73.2,79.9,70.1,75.1,0,0,0,rain,0,0,23.3,14.3,28.4,1012.5,66.8,10.9,184.4,15.9,7,10,2025-01-09T06:31:53,2025-01-09T18:03:49,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-10,82.6,74.9,79,89.7,74.9,80.4,72.5,80.7,0.036,100,29.17,rain,0,0,25.3,16.3,26.7,1013.8,79.9,11,128,11,5,10,2025-01-10T06:32:10,2025-01-10T18:04:21,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-11,83,77.4,79.5,90.8,77.4,80.7,72.4,79.2,0.04,100,33.33,rain,0,0,28.6,18.1,28.6,1013.7,81.7,10.5,189.7,16.3,6,10,2025-01-11T06:32:26,2025-01-11T18:04:53,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-12,80,75,77.6,80,75,77.6,72.6,85.1,0.042,100,8.33,rain,0,0,26.6,15.7,9.6,1013.1,93.1,9.2,145.9,12.5,7,10,2025-01-12T06:32:41,2025-01-12T18:05:25,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-13,84.5,75.3,78.9,95.7,75.3,81.2,75.2,89,0.032,100,12.5,rain,0,0,22.6,13.6,30.1,1011.8,70.3,10.7,192.5,16.9,7,10,2025-01-13T06:32:55,2025-01-13T18:05:56,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-14,82.7,77.1,79.6,91.2,77.1,81.8,74.6,84.7,0.036,100,25,rain,0,0,26.8,16.8,38.3,1012.9,85.4,11.3,157.7,13.6,6,10,2025-01-14T06:33:08,2025-01-14T18:06:27,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-15,84.3,77.4,79.6,93.7,77.4,81.5,74.5,84.6,0,0,0,rain,0,0,27.7,16.6,37.3,1013.5,81.6,9.3,171.8,14.9,7,10,2025-01-15T06:33:20,2025-01-15T18:06:58,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-16,84.4,77.6,79.8,92.3,77.6,81.8,72,77.2,0.024,100,12.5,rain,0,0,28,17.2,46.8,1013.4,67.7,11.4,177.4,15.3,7,10,2025-01-16T06:33:31,2025-01-16T18:07:28,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-17,83.5,76.9,79.3,88.9,76.9,80.3,70.4,74.5,0.004,100,4.17,rain,0,0,28.4,17.4,36.8,1012.5,49.8,11.1,215.1,18.6,8,10,2025-01-17T06:33:41,2025-01-17T18:07:59,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-18,79.1,74,77.3,79.1,74,77.3,72.3,84.8,0.258,100,12.5,rain,0,0,28.2,17.2,17.1,1011.4,98.5,9.3,64.6,5.4,3,10,2025-01-18T06:33:50,2025-01-18T18:08:28,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-19,82.1,73.7,77.8,91.5,73.7,78.8,75.5,92.7,0.374,100,12.5,rain,0,0,22.6,12.5,28.8,1011.6,96.1,9.5,145.1,12.5,5,10,2025-01-19T06:33:59,2025-01-19T18:08:57,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-20,81.8,76.4,78.6,89.1,76.4,79.8,74,86.2,0.58,100,8.33,rain,0,0,26.2,16.6,20,1011.3,88.7,11,207.3,17.9,7,10,2025-01-20T06:34:06,2025-01-20T18:09:26,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43347099999,43346099999,43348099999,43207099999,remote"
"10.7852,79.8409",2025-01-21,82.7,72.7,78.5,91.1,72.7,79.4,71.6,79.6,0,0,0,rain,0,0,21.9,13.6,22.5,1010.6,56.7,11,223.2,19.4,7,10,2025-01-21T06:34:12,2025-01-21T18:09:55,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-22,83,74.9,79.1,90.7,74.9,81,72.9,81.6,0,0,0,rain,0,0,22.4,13.4,28.1,1010.8,83,11.3,159.2,13.7,7,10,2025-01-22T06:34:17,2025-01-22T18:10:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-23,83.9,76.7,79.3,91.7,76.7,80.9,72.8,80.9,0.008,100,8.33,rain,0,0,21.5,14.1,42.5,1011.1,82.1,11.3,217.1,18.8,8,10,2025-01-23T06:34:21,2025-01-23T18:10:50,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-24,84.3,75.8,79.4,99.8,75.8,81.6,71.4,76.9,0,0,0,rain,0,0,20.8,11.6,44,1010.8,46.4,12,205,17.6,7,10,2025-01-24T06:34:23,2025-01-24T18:11:17,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-25,83.9,77.3,79.4,90.1,77.3,80.8,70.7,75,0,0,0,,0,0,24.2,14.5,35.4,1011.1,72.6,11.5,194.1,16.8,7,10,2025-01-25T06:34:25,2025-01-25T18:11:43,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,remote,43330099999"
"10.7852,79.8409",2025-01-26,83.9,72.3,78.6,89.7,72.3,79.6,69.7,74.6,0,0,0,,0,0,22.8,14.1,33.9,1011.3,78,11.3,239.6,20.6,8,10,2025-01-26T06:34:26,2025-01-26T18:12:09,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-27,83.9,71,78.4,90.6,71,79.8,70.4,76.7,0,0,0,,0,0,19.9,12.1,25.2,1010.6,40.4,11.1,217.6,18.8,7,10,2025-01-27T06:34:26,2025-01-27T18:12:34,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-28,84.8,73.2,78.7,89.6,73.2,79.6,68.3,71,0,0,0,,0,0,16.8,9.6,44.1,1011.2,68.1,11,192.9,16.7,7,10,2025-01-28T06:34:24,2025-01-28T18:12:59,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-29,83.5,76,79.1,88.6,76,80.3,70.4,75,0,0,0,,0,0,23.7,15,33.6,1011.9,82.5,10.7,187,16.2,7,10,2025-01-29T06:34:22,2025-01-29T18:13:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-30,83.9,75.3,79,91.8,75.3,80.4,73.5,83.5,0.052,100,33.33,rain,0,0,19.7,12.3,17.9,1011.1,85.5,10.9,109.1,9.4,4,10,2025-01-30T06:34:19,2025-01-30T18:13:47,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-01-31,85.4,78,80.7,98.4,78,85,76.6,87.4,0.038,100,4.17,rain,0,0,21.5,13.4,51.4,1010.6,46.9,11.3,199.9,17.3,7,30,2025-01-31T06:34:14,2025-01-31T18:14:09,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-01,85.3,77.6,80.5,98.3,77.6,84,76.1,86.6,0.002,100,4.17,rain,0,0,17.2,10.3,59.9,1011.1,74.5,11.1,211.4,18.4,7,10,2025-02-01T06:34:09,2025-02-01T18:14:32,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-02,86.2,76.7,80.3,96.6,76.7,83.1,74.7,83.4,0,0,0,rain,0,0,17.4,11,63.9,1011.4,42.1,11.5,224.5,19.3,8,10,2025-02-02T06:34:02,2025-02-02T18:14:53,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-03,84.3,72.8,78.5,89.9,72.8,79.9,71.8,80.4,0,0,0,rain,0,0,15.4,9.4,55.6,1012.1,31.5,11.3,249.2,21.5,9,10,2025-02-03T06:33:55,2025-02-03T18:15:14,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
